"조미료 50 보석 100 총포류 100
서양대포 석류석 수정 50
서양대포 부케가르니 100",-
"섬유 귀금속 보석 100
낙타털 금 청금석 50
골풀 백금 공작석 50",-
"조미료 50 귀금속 100 보석 100
야쟈기름 금 흑진주 50
야자기름 사금 산호 50",나르비크
"귀금속 보석 150
금 다이아몬드 50
사금 진주 100",그단스크
"바닐라 핑다 감람석 50
향신료 300 보석 100
바닐라 100 흑진주 50 산호 50",-
"보석 100 
핑다 200
핑다 400",리가
"의약품 잡화 섬유 50
초롱 인삼 파초 50
초롱 인삼 파초 100",베르겐
"브랜디 고블랭 50
브랜드 고블랭 레이스 50
주류 직물 250",비스뷔
"가축 50 귀금속 100 보석 100
알파카 은 에메랄드 50
소 금 오팔 50",상트페테르부르크
"황단 금 50
공업품 귀금속 200
석유 사금 50",스톡홀름
"설탕 산호 50
참깨 산호 50
조미료 100 보석 400",아르한겔스크
"벨벳 거울 50
벨벳 레이스 대리석상 50
직물 300 미술품 200",오슬로
"펜넬 라일락 50
향신료 향료 200
펜넬 라일락 장미 50",코콜라
"향료 보석 150
사파이어 루비 사향 50
사파이어 루비 재스민 100",쾨벤하운
"서양대포 작약 굴 50
서양대포 작약 굴 100
식료품 50 의약품 50 총포류 300",-
"쇠고기 테킬라 바닐라 50
쇠고기 셰리 올스파이스 50
식료품 100 주류 100 향신료 300",코르프
"꿀 소금 흑진주 50
조미료 50 광석 50 보석 200
석탄 50 철광석 50 핑다 100",레이캬비크
"보석 미술품 50
자수정 호안석 중국화 50
자수정 호안석 중국화 100",오흐츠크
"염료 100 향신료 200 향료 200
아주라이트 펜넬 라일락 50
아주라이트 펜넬 장미 50",체르스키
"기호품 직물 향료 100
용연향 피스타치오 융단 50
유향 피스타치오 융단 50",바르도
"공업품 귀금속 보석 100
황단 금 다이아몬드 50
석유 50 금 100 진주 50",-
"서양대포 건포도 코듀로이 50
기호품 150 직물 150 총포류 100
서양대포 건포도 코듀로이 100",-
"향료 100 보석 50
치자나무 진달래 50
치자나무 진달래 자수정 150",호르닝언
"향신료 향료 보석 100
사파이어 후추 사향 50
루비 계피 재스민 50",낭트
"보석 직물 150
청금석 50 호박단 100 터키석 50
청금석 호박단 모슬린 100",두블린
"보석 향료 공예품 100 
핑다 유칼립투스 100 
핑다 200 유칼립투스 100 디져리두 100",도버
"기호품 귀금속 보석 100
루이보스차 백금 다이아몬드 50
루이보스차 50 백금 200 산호 100",런던
"거위 보드카 50
토끼 50 보드카 200
가축 100 주류 400",뤼베크
"육두구 메이스 정향 50
조미료 50 향신료 100 보석 200
설탕봉 소금 꿀 10",보르도
"캐비아 융단 말 50
캐비아 융단 말 100
가축 100 기호품 200 직물 200",브레멘
"동판화 건포도 코듀로이 50
기호 150 직물 150 미술 100
동판화 건포도 코듀로이 100",브리스틀
"홍차 센나 캐시미어 50
말린망고 센나 면직물 50
의약품 50 기호품 100 직물 300",암스테르담
"의약품 100 잡화 50
인삼 초롱 붓꽃 100
인삼 200 초롱 200 붓꽃 100",안트베르펜
"식료품 200 직물 100
리치 밤 슈리오리 100
리치 밤 슈리오리 200",에든버러
"바닐라 아보카도 아과요 50
기호품 150 직물 150 향신료 100
올스파이스 아보카도 아과요 50",칼레
"자수정 호안석 50
보석 150
자수정 100 호안석 100 중국차 50",플리머스
"미주 해당화 감송 50 
주류 향료 200
미주 해당화 감송 150",함부르크
"중국화 중국차 50
중국화 차 중국화 100
기호품 350 미술품 150",덴헨데르
"무기류 공예품 미술품 100
양손검 보석세공 100
서양갑옷 테피스트리 150",-
"두반장 산초씨 금목서 50
조미료 50 향신료 200 향료 200
흑식초 100 고수 50 금목서 50",-
"미술품 보석 50
중국화 자수정 100
중국화 자수정 150",칸디아
"향신료 귀금속 보석 100
바닐라 은 오팔 50
올스파이스 은 마노 50",나폴리
"콜키쿰 사탕무 동판화 50
작약 동판화 50
식료품 50 의약품 50 미술품 300",라구사
"건포도 목상 50
건포도 사탕수수 목상 50
식료품 100 기호품 200 미술품 200",마르세유
"향료 총포류 50
금목서 동양대포 50
금목서 동양대포 100",몽펠리에
"가축 총포류 50
당나귀 동양대포 50
당나귀 동양대포 100",베네치아
"꿀 태피스트리 50
꿀 태피스트리 150
조미료 100 미술품 400",사사리
"깃털 양손검 50
깃털 양손검 양 50
가축 100 섬유 100 무기류 300",테살로니키
"당나귀 산초씨 금목서 50
가축 50 향신료 200 향료 200
당나귀 100 산초씨 50 금목서 50",바르나
"등세공 대황 마직물 50
등세공 대황 마직물 100
의약품 50 잡화 50 직물 300",시라쿠자
"은식기 보석세공 50
종이 은식기 보석세공 50
잡화 100 공예품 400",아티나
"호박단 청금석 터키석 50
직물 300 보석 100
터키석 호박단 모슬린 50",안코나
"파초 서화 중국화 50
삼 수단 중국화 50
식료품 100 섬유 100 미술품 200",오데사
"순백자 소바 일본화 50
식료품 50 공예품 100 미술품 200
칠기 가지 일본화 50",자라
"파피루스 티리언퍼플 무명 50
파피루스 티리언퍼플 무명 50 
잡화 100 염료 200 직물 200",제노바
"납광석 잇꽃 50
염료 100 광물 50 직물 200
황철광석 잇꽃 50",케르치
